game_id,venue,bin_min,price
g0000,kalshi,0,0.4873
g0000,polymarket,0,0.4655
g0000,kalshi,1,0.5127
g0000,polymarket,1,0.496
g0000,kalshi,2,0.5228
g0000,polymarket,2,0.4574
g0000,kalshi,3,0.5381
g0000,polymarket,3,0.5446
g0000,kalshi,4,0.5141
g0000,polymarket,4,0.5178
g0000,kalshi,5,0.5204
g0000,polymarket,5,0.5727
g0000,kalshi,6,0.522
g0000,polymarket,6,0.534
g0000,kalshi,7,0.5428
g0000,polymarket,7,0.5217
g0000,kalshi,8,0.4979
g0000,polymarket,8,0.4762
g0000,kalshi,9,0.4827
g0000,polymarket,9,0.4777
g0000,kalshi,10,0.4579
g0000,polymarket,10,0.4522
g0000,kalshi,11,0.4721
g0000,polymarket,11,0.4788
g0000,kalshi,12,0.4927
g0000,polymarket,12,0.4947
g0000,kalshi,13,0.4553
g0000,polymarket,13,0.4446
g0000,kalshi,14,0.4574
g0000,polymarket,14,0.4684
g0000,kalshi,15,0.4398
g0000,polymarket,15,0.4313
g0000,kalshi,16,0.4406
g0000,polymarket,16,0.451
g0000,kalshi,17,0.4263
g0000,polymarket,17,0.4137
g0000,kalshi,18,0.4444
g0000,polymarket,18,0.4519
g0000,kalshi,19,0.4604
g0000,polymarket,19,0.4365
g0000,kalshi,20,0.4754
g0000,polymarket,20,0.4896
g0000,kalshi,21,0.4741
g0000,polymarket,21,0.4773
g0000,kalshi,22,0.4608
g0000,polymarket,22,0.4473
g0000,kalshi,23,0.4884
g0000,polymarket,23,0.5061
g0000,kalshi,24,0.5077
g0000,polymarket,24,0.5065
g0000,kalshi,25,0.5094
g0000,polymarket,25,0.5187
g0000,kalshi,26,0.4961
g0000,polymarket,26,0.5072
g0000,kalshi,27,0.4623
g0000,polymarket,27,0.46
g0000,kalshi,28,0.4317
g0000,polymarket,28,0.4461
g0000,kalshi,29,0.4054
g0000,polymarket,29,0.386
g0000,kalshi,30,0.4011
g0000,polymarket,30,0.397
g0000,kalshi,31,0.3915
g0000,polymarket,31,0.3907
g0000,kalshi,32,0.403
g0000,polymarket,32,0.4066
g0000,kalshi,33,0.371
g0000,polymarket,33,0.3626
g0000,kalshi,34,0.3595
g0000,polymarket,34,0.3639
g0000,kalshi,35,0.3507
g0000,polymarket,35,0.3451
g0000,kalshi,36,0.3698
g0000,polymarket,36,0.3734
g0000,kalshi,37,0.3957
g0000,polymarket,37,0.4074
g0000,kalshi,38,0.3876
g0000,polymarket,38,0.3689
g0000,kalshi,39,0.3537
g0000,polymarket,39,0.3582
g0000,kalshi,40,0.3436
g0000,polymarket,40,0.3878
g0000,kalshi,41,0.3514
g0000,polymarket,41,0.4027
g0000,kalshi,42,0.3663
g0000,polymarket,42,0.375
g0000,kalshi,43,0.3618
g0000,polymarket,43,0.3626
g0000,kalshi,44,0.3742
g0000,polymarket,44,0.3849
g0000,kalshi,45,0.3799
g0000,polymarket,45,0.3667
g0000,kalshi,46,0.3484
g0000,polymarket,46,0.349
g0000,kalshi,47,0.3745
g0000,polymarket,47,0.3761
g0000,kalshi,48,0.3873
g0000,polymarket,48,0.3781
g0000,kalshi,49,0.3889
g0000,polymarket,49,0.379
g0000,kalshi,50,0.4016
g0000,polymarket,50,0.4021
g0000,kalshi,51,0.4177
g0000,polymarket,51,0.4463
g0000,kalshi,52,0.4303
g0000,polymarket,52,0.4209
g0000,kalshi,53,0.4629
g0000,polymarket,53,0.461
g0000,kalshi,54,0.4741
g0000,polymarket,54,0.4581
g0000,kalshi,55,0.4584
g0000,polymarket,55,0.4675
g0000,kalshi,56,0.459
g0000,polymarket,56,0.4691
g0000,kalshi,57,0.4467
g0000,polymarket,57,0.4592
g0000,kalshi,58,0.448
g0000,polymarket,58,0.4786
g0000,kalshi,59,0.4359
g0000,polymarket,59,0.4413
g0000,kalshi,60,0.434
g0000,polymarket,60,0.4408
g0000,kalshi,61,0.4374
g0000,polymarket,61,0.4248
g0000,kalshi,62,0.4509
g0000,polymarket,62,0.4513
g0000,kalshi,63,0.4435
g0000,polymarket,63,0.4494
g0000,kalshi,64,0.4271
g0000,polymarket,64,0.4648
g0000,kalshi,65,0.449
g0000,polymarket,65,0.4538
g0000,kalshi,66,0.4704
g0000,polymarket,66,0.4568
g0000,kalshi,67,0.456
g0000,polymarket,67,0.4469
g0000,kalshi,68,0.4584
g0000,polymarket,68,0.4614
g0000,kalshi,69,0.4487
g0000,polymarket,69,0.4525
g0000,kalshi,70,0.4231
g0000,polymarket,70,0.412
g0000,kalshi,71,0.4291
g0000,polymarket,71,0.4209
g0000,kalshi,72,0.4013
g0000,polymarket,72,0.4119
g0000,kalshi,73,0.3759
g0000,polymarket,73,0.3838
g0000,kalshi,74,0.3579
g0000,polymarket,74,0.3609
g0000,kalshi,75,0.3594
g0000,polymarket,75,0.3685
g0000,kalshi,76,0.3581
g0000,polymarket,76,0.3854
g0000,kalshi,77,0.3392
g0000,polymarket,77,0.3377
g0000,kalshi,78,0.3171
g0000,polymarket,78,0.305
g0000,kalshi,79,0.3406
g0000,polymarket,79,0.3619
g0001,kalshi,0,0.5687
g0001,polymarket,0,0.5851
g0001,kalshi,1,0.5986
g0001,polymarket,1,0.6183
g0001,kalshi,2,0.6101
g0001,polymarket,2,0.5418
g0001,kalshi,3,0.6334
g0001,polymarket,3,0.6295
g0001,kalshi,4,0.6016
g0001,polymarket,4,0.5948
g0001,kalshi,5,0.6149
g0001,polymarket,5,0.6062
g0001,kalshi,6,0.6118
g0001,polymarket,6,0.605
g0001,kalshi,7,0.6133
g0001,polymarket,7,0.6326
g0001,kalshi,8,0.6449
g0001,polymarket,8,0.6721
g0001,kalshi,9,0.6694
g0001,polymarket,9,0.6581
g0001,kalshi,10,0.6714
g0001,polymarket,10,0.6876
g0001,kalshi,11,0.7112
g0001,polymarket,11,0.7037
g0001,kalshi,12,0.7154
g0001,polymarket,12,0.723
g0001,kalshi,13,0.7038
g0001,polymarket,13,0.71
g0001,kalshi,14,0.6945
g0001,polymarket,14,0.7012
g0001,kalshi,15,0.6999
g0001,polymarket,15,0.7124
g0001,kalshi,16,0.7021
g0001,polymarket,16,0.723
g0001,kalshi,17,0.6707
g0001,polymarket,17,0.6866
g0001,kalshi,18,0.665
g0001,polymarket,18,0.6569
g0001,kalshi,19,0.6732
g0001,polymarket,19,0.6927
g0001,kalshi,20,0.6885
g0001,polymarket,20,0.7551
g0001,kalshi,21,0.7026
g0001,polymarket,21,0.6901
g0001,kalshi,22,0.7137
g0001,polymarket,22,0.7215
g0001,kalshi,23,0.6877
g0001,polymarket,23,0.6946
g0001,kalshi,24,0.6569
g0001,polymarket,24,0.6518
g0001,kalshi,25,0.7089
g0001,polymarket,25,0.7101
g0001,kalshi,26,0.717
g0001,polymarket,26,0.7113
g0001,kalshi,27,0.7109
g0001,polymarket,27,0.6713
g0001,kalshi,28,0.6855
g0001,polymarket,28,0.6907
g0001,kalshi,29,0.6741
g0001,polymarket,29,0.6829
g0001,kalshi,30,0.7316
g0001,polymarket,30,0.7318
g0001,kalshi,31,0.73
g0001,polymarket,31,0.7334
g0001,kalshi,32,0.7488
g0001,polymarket,32,0.7553
g0001,kalshi,33,0.719
g0001,polymarket,33,0.7187
g0001,kalshi,34,0.7445
g0001,polymarket,34,0.7534
g0001,kalshi,35,0.7326
g0001,polymarket,35,0.7007
g0001,kalshi,36,0.7424
g0001,polymarket,36,0.7341
g0001,kalshi,37,0.74
g0001,polymarket,37,0.7449
g0001,kalshi,38,0.7356
g0001,polymarket,38,0.7318
g0001,kalshi,39,0.709
g0001,polymarket,39,0.7162
g0001,kalshi,40,0.6935
g0001,polymarket,40,0.6883
g0001,kalshi,41,0.6816
g0001,polymarket,41,0.681
g0001,kalshi,42,0.6953
g0001,polymarket,42,0.6954
g0001,kalshi,43,0.6869
g0001,polymarket,43,0.6599
g0001,kalshi,44,0.697
g0001,polymarket,44,0.7313
g0001,kalshi,45,0.6977
g0001,polymarket,45,0.7046
g0001,kalshi,46,0.6962
g0001,polymarket,46,0.6934
g0001,kalshi,47,0.6922
g0001,polymarket,47,0.6895
g0001,kalshi,48,0.6817
g0001,polymarket,48,0.6928
g0001,kalshi,49,0.6838
g0001,polymarket,49,0.662
g0001,kalshi,50,0.6647
g0001,polymarket,50,0.6599
g0001,kalshi,51,0.6602
g0001,polymarket,51,0.6542
g0001,kalshi,52,0.6787
g0001,polymarket,52,0.7287
g0001,kalshi,53,0.6738
g0001,polymarket,53,0.6656
g0001,kalshi,54,0.628
g0001,polymarket,54,0.6431
g0001,kalshi,55,0.6356
g0001,polymarket,55,0.6309
g0001,kalshi,56,0.6459
g0001,polymarket,56,0.642
g0001,kalshi,57,0.6466
g0001,polymarket,57,0.6346
g0001,kalshi,58,0.6286
g0001,polymarket,58,0.592
g0001,kalshi,59,0.6426
g0001,polymarket,59,0.6368
g0001,kalshi,60,0.6747
g0001,polymarket,60,0.6625
g0001,kalshi,61,0.6708
g0001,polymarket,61,0.6507
g0001,kalshi,62,0.6623
g0001,polymarket,62,0.6779
g0001,kalshi,63,0.6896
g0001,polymarket,63,0.6687
g0001,kalshi,64,0.6707
g0001,polymarket,64,0.655
g0001,kalshi,65,0.6685
g0001,polymarket,65,0.7325
g0001,kalshi,66,0.6713
g0001,polymarket,66,0.6734
g0001,kalshi,67,0.665
g0001,polymarket,67,0.6669
g0001,kalshi,68,0.6681
g0001,polymarket,68,0.6635
g0001,kalshi,69,0.6774
g0001,polymarket,69,0.6642
g0001,kalshi,70,0.6795
g0001,polymarket,70,0.6727
g0001,kalshi,71,0.6574
g0001,polymarket,71,0.6834
g0001,kalshi,72,0.6564
g0001,polymarket,72,0.6633
g0001,kalshi,73,0.6706
g0001,polymarket,73,0.6497
g0001,kalshi,74,0.6983
g0001,polymarket,74,0.6953
g0001,kalshi,75,0.6992
g0001,polymarket,75,0.6889
g0001,kalshi,76,0.7363
g0001,polymarket,76,0.73
g0001,kalshi,77,0.7264
g0001,polymarket,77,0.701
g0001,kalshi,78,0.7261
g0001,polymarket,78,0.7338
g0001,kalshi,79,0.7278
g0001,polymarket,79,0.7506
g0002,kalshi,0,0.5816
g0002,polymarket,0,0.5894
g0002,kalshi,1,0.5735
g0002,polymarket,1,0.5995
g0002,kalshi,2,0.5843
g0002,polymarket,2,0.64
g0002,kalshi,3,0.5575
g0002,polymarket,3,0.5697
g0002,kalshi,4,0.5618
g0002,polymarket,4,0.5795
g0002,kalshi,5,0.5591
g0002,polymarket,5,0.497
g0002,kalshi,6,0.5369
g0002,polymarket,6,0.5535
g0002,kalshi,7,0.5382
g0002,polymarket,7,0.5434
g0002,kalshi,8,0.4935
g0002,polymarket,8,0.4841
g0002,kalshi,9,0.5003
g0002,polymarket,9,0.5039
g0002,kalshi,10,0.4987
g0002,polymarket,10,0.4948
g0002,kalshi,11,0.4911
g0002,polymarket,11,0.4837
g0002,kalshi,12,0.499
g0002,polymarket,12,0.4893
g0002,kalshi,13,0.508
g0002,polymarket,13,0.5917
g0002,kalshi,14,0.5415
g0002,polymarket,14,0.5387
g0002,kalshi,15,0.5069
g0002,polymarket,15,0.4367
g0002,kalshi,16,0.4938
g0002,polymarket,16,0.4983
g0002,kalshi,17,0.4907
g0002,polymarket,17,0.4945
g0002,kalshi,18,0.4914
g0002,polymarket,18,0.5006
g0002,kalshi,19,0.5186
g0002,polymarket,19,0.5152
g0002,kalshi,20,0.4852
g0002,polymarket,20,0.4694
g0002,kalshi,21,0.4872
g0002,polymarket,21,0.4911
g0002,kalshi,22,0.491
g0002,polymarket,22,0.4938
g0002,kalshi,23,0.4743
g0002,polymarket,23,0.4707
g0002,kalshi,24,0.5036
g0002,polymarket,24,0.5113
g0002,kalshi,25,0.504
g0002,polymarket,25,0.494
g0002,kalshi,26,0.516
g0002,polymarket,26,0.5219
g0002,kalshi,27,0.5252
g0002,polymarket,27,0.5315
g0002,kalshi,28,0.4885
g0002,polymarket,28,0.4825
g0002,kalshi,29,0.4787
g0002,polymarket,29,0.4673
g0002,kalshi,30,0.4698
g0002,polymarket,30,0.4603
g0002,kalshi,31,0.4791
g0002,polymarket,31,0.4702
g0002,kalshi,32,0.451
g0002,polymarket,32,0.4583
g0002,kalshi,33,0.4603
g0002,polymarket,33,0.4614
g0002,kalshi,34,0.4816
g0002,polymarket,34,0.477
g0002,kalshi,35,0.4556
g0002,polymarket,35,0.4366
g0002,kalshi,36,0.4762
g0002,polymarket,36,0.4801
g0002,kalshi,37,0.4727
g0002,polymarket,37,0.4756
g0002,kalshi,38,0.4655
g0002,polymarket,38,0.4451
g0002,kalshi,39,0.4756
g0002,polymarket,39,0.4602
g0002,kalshi,40,0.4986
g0002,polymarket,40,0.5062
g0002,kalshi,41,0.4997
g0002,polymarket,41,0.4883
g0002,kalshi,42,0.5001
g0002,polymarket,42,0.4804
g0002,kalshi,43,0.4386
g0002,polymarket,43,0.4081
g0002,kalshi,44,0.438
g0002,polymarket,44,0.4114
g0002,kalshi,45,0.4193
g0002,polymarket,45,0.4268
g0002,kalshi,46,0.4153
g0002,polymarket,46,0.4153
g0002,kalshi,47,0.4265
g0002,polymarket,47,0.4205
g0002,kalshi,48,0.4343
g0002,polymarket,48,0.4367
g0002,kalshi,49,0.4519
g0002,polymarket,49,0.4411
g0002,kalshi,50,0.4243
g0002,polymarket,50,0.4171
g0002,kalshi,51,0.4523
g0002,polymarket,51,0.4576
g0002,kalshi,52,0.469
g0002,polymarket,52,0.4536
g0002,kalshi,53,0.4433
g0002,polymarket,53,0.4393
g0002,kalshi,54,0.4341
g0002,polymarket,54,0.4676
g0002,kalshi,55,0.414
g0002,polymarket,55,0.4107
g0002,kalshi,56,0.4177
g0002,polymarket,56,0.3988
g0002,kalshi,57,0.4253
g0002,polymarket,57,0.4069
g0002,kalshi,58,0.4244
g0002,polymarket,58,0.4151
g0002,kalshi,59,0.4212
g0002,polymarket,59,0.43
g0002,kalshi,60,0.4398
g0002,polymarket,60,0.4542
g0002,kalshi,61,0.453
g0002,polymarket,61,0.4645
g0002,kalshi,62,0.4632
g0002,polymarket,62,0.4672
g0002,kalshi,63,0.4532
g0002,polymarket,63,0.4491
g0002,kalshi,64,0.4686
g0002,polymarket,64,0.5404
g0002,kalshi,65,0.492
g0002,polymarket,65,0.5151
g0002,kalshi,66,0.4993
g0002,polymarket,66,0.498
g0002,kalshi,67,0.4993
g0002,polymarket,67,0.4956
g0002,kalshi,68,0.4977
g0002,polymarket,68,0.5079
g0002,kalshi,69,0.4886
g0002,polymarket,69,0.5013
g0002,kalshi,70,0.4929
g0002,polymarket,70,0.5083
g0002,kalshi,71,0.4997
g0002,polymarket,71,0.5009
g0002,kalshi,72,0.4764
g0002,polymarket,72,0.4775
g0002,kalshi,73,0.4911
g0002,polymarket,73,0.4798
g0002,kalshi,74,0.4918
g0002,polymarket,74,0.4893
g0002,kalshi,75,0.4878
g0002,polymarket,75,0.4711
g0002,kalshi,76,0.5033
g0002,polymarket,76,0.5127
g0002,kalshi,77,0.4934
g0002,polymarket,77,0.4738
g0002,kalshi,78,0.4904
g0002,polymarket,78,0.4828
g0002,kalshi,79,0.4886
g0002,polymarket,79,0.5096
g0003,kalshi,0,0.5176
g0003,polymarket,0,0.5288
g0003,kalshi,1,0.5265
g0003,polymarket,1,0.5078
g0003,kalshi,2,0.5385
g0003,polymarket,2,0.5536
g0003,kalshi,3,0.5147
g0003,polymarket,3,0.5059
g0003,kalshi,4,0.5134
g0003,polymarket,4,0.4946
g0003,kalshi,5,0.4504
g0003,polymarket,5,0.441
g0003,kalshi,6,0.4527
g0003,polymarket,6,0.4452
g0003,kalshi,7,0.4474
g0003,polymarket,7,0.4511
g0003,kalshi,8,0.4323
g0003,polymarket,8,0.4345
g0003,kalshi,9,0.413
g0003,polymarket,9,0.4279
g0003,kalshi,10,0.4052
g0003,polymarket,10,0.3949
g0003,kalshi,11,0.4059
g0003,polymarket,11,0.3893
g0003,kalshi,12,0.4028
g0003,polymarket,12,0.3973
g0003,kalshi,13,0.4037
g0003,polymarket,13,0.3939
g0003,kalshi,14,0.3915
g0003,polymarket,14,0.3908
g0003,kalshi,15,0.3909
g0003,polymarket,15,0.3914
g0003,kalshi,16,0.364
g0003,polymarket,16,0.306
g0003,kalshi,17,0.3632
g0003,polymarket,17,0.3557
g0003,kalshi,18,0.4036
g0003,polymarket,18,0.4051
g0003,kalshi,19,0.4347
g0003,polymarket,19,0.427
g0003,kalshi,20,0.4283
g0003,polymarket,20,0.4167
g0003,kalshi,21,0.4222
g0003,polymarket,21,0.4412
g0003,kalshi,22,0.4337
g0003,polymarket,22,0.4337
g0003,kalshi,23,0.4462
g0003,polymarket,23,0.433
g0003,kalshi,24,0.3829
g0003,polymarket,24,0.4007
g0003,kalshi,25,0.3689
g0003,polymarket,25,0.3464
g0003,kalshi,26,0.3854
g0003,polymarket,26,0.3748
g0003,kalshi,27,0.3801
g0003,polymarket,27,0.3815
g0003,kalshi,28,0.3763
g0003,polymarket,28,0.374
g0003,kalshi,29,0.3422
g0003,polymarket,29,0.3422
g0003,kalshi,30,0.357
g0003,polymarket,30,0.3648
g0003,kalshi,31,0.337
g0003,polymarket,31,0.3451
g0003,kalshi,32,0.3425
g0003,polymarket,32,0.3533
g0003,kalshi,33,0.325
g0003,polymarket,33,0.3541
g0003,kalshi,34,0.3153
g0003,polymarket,34,0.3245
g0003,kalshi,35,0.3282
g0003,polymarket,35,0.3363
g0003,kalshi,36,0.3169
g0003,polymarket,36,0.2976
g0003,kalshi,37,0.2984
g0003,polymarket,37,0.3066
g0003,kalshi,38,0.2913
g0003,polymarket,38,0.3226
g0003,kalshi,39,0.2907
g0003,polymarket,39,0.2687
g0003,kalshi,40,0.2881
g0003,polymarket,40,0.2979
g0003,kalshi,41,0.307
g0003,polymarket,41,0.3053
g0003,kalshi,42,0.3275
g0003,polymarket,42,0.3058
g0003,kalshi,43,0.3223
g0003,polymarket,43,0.3129
g0003,kalshi,44,0.3441
g0003,polymarket,44,0.3513
g0003,kalshi,45,0.3434
g0003,polymarket,45,0.349
g0003,kalshi,46,0.3516
g0003,polymarket,46,0.3479
g0003,kalshi,47,0.3451
g0003,polymarket,47,0.3606
g0003,kalshi,48,0.3741
g0003,polymarket,48,0.3765
g0003,kalshi,49,0.4057
g0003,polymarket,49,0.4127
g0003,kalshi,50,0.4111
g0003,polymarket,50,0.4203
g0003,kalshi,51,0.4164
g0003,polymarket,51,0.3988
g0003,kalshi,52,0.3773
g0003,polymarket,52,0.3599
g0003,kalshi,53,0.379
g0003,polymarket,53,0.374
g0003,kalshi,54,0.3528
g0003,polymarket,54,0.409
g0003,kalshi,55,0.3614
g0003,polymarket,55,0.3607
g0003,kalshi,56,0.3543
g0003,polymarket,56,0.3509
g0003,kalshi,57,0.3474
g0003,polymarket,57,0.339
g0003,kalshi,58,0.3493
g0003,polymarket,58,0.3467
g0003,kalshi,59,0.3458
g0003,polymarket,59,0.2802
g0003,kalshi,60,0.3669
g0003,polymarket,60,0.3647
g0003,kalshi,61,0.344
g0003,polymarket,61,0.3677
g0003,kalshi,62,0.3753
g0003,polymarket,62,0.3711
g0003,kalshi,63,0.371
g0003,polymarket,63,0.3625
g0003,kalshi,64,0.3463
g0003,polymarket,64,0.3557
g0003,kalshi,65,0.3392
g0003,polymarket,65,0.324
g0003,kalshi,66,0.3319
g0003,polymarket,66,0.3413
g0003,kalshi,67,0.342
g0003,polymarket,67,0.3636
g0003,kalshi,68,0.3683
g0003,polymarket,68,0.36
g0003,kalshi,69,0.3899
g0003,polymarket,69,0.3959
g0003,kalshi,70,0.4149
g0003,polymarket,70,0.4156
g0003,kalshi,71,0.4098
g0003,polymarket,71,0.415
g0003,kalshi,72,0.3984
g0003,polymarket,72,0.3769
g0003,kalshi,73,0.3946
g0003,polymarket,73,0.4061
g0003,kalshi,74,0.3878
g0003,polymarket,74,0.3729
g0003,kalshi,75,0.3748
g0003,polymarket,75,0.3977
g0003,kalshi,76,0.3851
g0003,polymarket,76,0.4571
g0003,kalshi,77,0.39
g0003,polymarket,77,0.3929
g0003,kalshi,78,0.3877
g0003,polymarket,78,0.4408
g0003,kalshi,79,0.3953
g0003,polymarket,79,0.3912
g0004,kalshi,0,0.4416
g0004,polymarket,0,0.4472
g0004,kalshi,1,0.4116
g0004,polymarket,1,0.4182
g0004,kalshi,2,0.3802
g0004,polymarket,2,0.4524
g0004,kalshi,3,0.4026
g0004,polymarket,3,0.3781
g0004,kalshi,4,0.4097
g0004,polymarket,4,0.389
g0004,kalshi,5,0.4294
g0004,polymarket,5,0.4462
g0004,kalshi,6,0.3761
g0004,polymarket,6,0.3905
g0004,kalshi,7,0.3959
g0004,polymarket,7,0.4186
g0004,kalshi,8,0.3625
g0004,polymarket,8,0.3488
g0004,kalshi,9,0.3632
g0004,polymarket,9,0.3551
g0004,kalshi,10,0.348
g0004,polymarket,10,0.357
g0004,kalshi,11,0.3342
g0004,polymarket,11,0.338
g0004,kalshi,12,0.3529
g0004,polymarket,12,0.3478
g0004,kalshi,13,0.3388
g0004,polymarket,13,0.3511
g0004,kalshi,14,0.3215
g0004,polymarket,14,0.3191
g0004,kalshi,15,0.3318
g0004,polymarket,15,0.3347
g0004,kalshi,16,0.3413
g0004,polymarket,16,0.3514
g0004,kalshi,17,0.3182
g0004,polymarket,17,0.3141
g0004,kalshi,18,0.3125
g0004,polymarket,18,0.3162
g0004,kalshi,19,0.3047
g0004,polymarket,19,0.3041
g0004,kalshi,20,0.3176
g0004,polymarket,20,0.3131
g0004,kalshi,21,0.3007
g0004,polymarket,21,0.3056
g0004,kalshi,22,0.3143
g0004,polymarket,22,0.2922
g0004,kalshi,23,0.2704
g0004,polymarket,23,0.2609
g0004,kalshi,24,0.2366
g0004,polymarket,24,0.2564
g0004,kalshi,25,0.2545
g0004,polymarket,25,0.2592
g0004,kalshi,26,0.2358
g0004,polymarket,26,0.224
g0004,kalshi,27,0.2358
g0004,polymarket,27,0.2292
g0004,kalshi,28,0.216
g0004,polymarket,28,0.1959
g0004,kalshi,29,0.219
g0004,polymarket,29,0.2209
g0004,kalshi,30,0.2343
g0004,polymarket,30,0.2471
g0004,kalshi,31,0.2437
g0004,polymarket,31,0.2263
g0004,kalshi,32,0.2606
g0004,polymarket,32,0.266
g0004,kalshi,33,0.2836
g0004,polymarket,33,0.2894
g0004,kalshi,34,0.2788
g0004,polymarket,34,0.2762
g0004,kalshi,35,0.2845
g0004,polymarket,35,0.2742
g0004,kalshi,36,0.2932
g0004,polymarket,36,0.286
g0004,kalshi,37,0.2949
g0004,polymarket,37,0.2855
g0004,kalshi,38,0.2724
g0004,polymarket,38,0.2466
g0004,kalshi,39,0.2818
g0004,polymarket,39,0.2808
g0004,kalshi,40,0.279
g0004,polymarket,40,0.2877
g0004,kalshi,41,0.2579
g0004,polymarket,41,0.2592
g0004,kalshi,42,0.287
g0004,polymarket,42,0.3074
g0004,kalshi,43,0.2942
g0004,polymarket,43,0.2937
g0004,kalshi,44,0.316
g0004,polymarket,44,0.3802
g0004,kalshi,45,0.3471
g0004,polymarket,45,0.3463
g0004,kalshi,46,0.3002
g0004,polymarket,46,0.3109
g0004,kalshi,47,0.3219
g0004,polymarket,47,0.3151
g0004,kalshi,48,0.3408
g0004,polymarket,48,0.3376
g0004,kalshi,49,0.321
g0004,polymarket,49,0.3291
g0004,kalshi,50,0.305
g0004,polymarket,50,0.3141
g0004,kalshi,51,0.3159
g0004,polymarket,51,0.3166
g0004,kalshi,52,0.3302
g0004,polymarket,52,0.3121
g0004,kalshi,53,0.3164
g0004,polymarket,53,0.3187
g0004,kalshi,54,0.35
g0004,polymarket,54,0.375
g0004,kalshi,55,0.3494
g0004,polymarket,55,0.3096
g0004,kalshi,56,0.3311
g0004,polymarket,56,0.3469
g0004,kalshi,57,0.374
g0004,polymarket,57,0.3753
g0004,kalshi,58,0.3754
g0004,polymarket,58,0.3888
g0004,kalshi,59,0.384
g0004,polymarket,59,0.4531
g0004,kalshi,60,0.3762
g0004,polymarket,60,0.379
g0004,kalshi,61,0.4031
g0004,polymarket,61,0.399
g0004,kalshi,62,0.4166
g0004,polymarket,62,0.4091
g0004,kalshi,63,0.4082
g0004,polymarket,63,0.4032
g0004,kalshi,64,0.3926
g0004,polymarket,64,0.4074
g0004,kalshi,65,0.3719
g0004,polymarket,65,0.3762
g0004,kalshi,66,0.375
g0004,polymarket,66,0.379
g0004,kalshi,67,0.3857
g0004,polymarket,67,0.4076
g0004,kalshi,68,0.4042
g0004,polymarket,68,0.3947
g0004,kalshi,69,0.3748
g0004,polymarket,69,0.3523
g0004,kalshi,70,0.3831
g0004,polymarket,70,0.4146
g0004,kalshi,71,0.388
g0004,polymarket,71,0.4046
g0004,kalshi,72,0.4152
g0004,polymarket,72,0.3962
g0004,kalshi,73,0.4359
g0004,polymarket,73,0.4322
g0004,kalshi,74,0.4212
g0004,polymarket,74,0.4392
g0004,kalshi,75,0.4271
g0004,polymarket,75,0.4883
g0004,kalshi,76,0.3902
g0004,polymarket,76,0.3797
g0004,kalshi,77,0.368
g0004,polymarket,77,0.3631
g0004,kalshi,78,0.3379
g0004,polymarket,78,0.3536
